,text,polarity
971,That's what education did for me.,positive
972,"We slipped through the door and came out, not inside the building, but on a busy street in a completely different part of town.",neutral
973,'plant',neutral
974,"To ease Antie’s on-board memory requirements and processing capabilities (and to make all the rest of the pseudocode easier for the reader to understand), I propose a few global variables and subroutines.",positive
975,"During a second philsophy session, Khenpo Kalsang translated a sutra about a king who received advice from the Buddha.",neutral
976,"""I am thrilled with the price.""",positive
977,Many of the children have no homes; no memories of joy from past holidays.,negative
978,--It's because of Molina: The Angels felt they could part with Fabregas because of the play of catcher Jose Molina.,positive
979,"""Only then will New Jersey voters be able to decide Torricelli's fitness for office.""",negative
980,"During times of crisis (which this is), the ones who will create positive change are those who accept the hand they are dealt and act.",negative
981,Archaeologists find remains of couple locked in a hug,negative
982,Good luck.”,positive
983,She had the look of every leader she had ever known.,neutral
984,"Pot smokers may avoid Alzheimer's, study says",positive
985,Her skin seemed as smooth and as polished as the bed's teak frame.,positive
986,"Appreciatively, Mark Van Putten President",positive
987,"But so far, age has been kind to the ebullient Child.",positive
988,I hadn't been counting days.,negative
989,"I put in 1+ decades in trade coursework, and several branches of the industry.",positive
990,"“That should help,”",positive
991,"They all looked the same: clusters of social butterflies surrounded by the less apt, the hangers-on, the circle with whom the gossip was shared.",negative
992,"""My experience in the automotive industry was there was a dire shortage of auto technicians not only in America but internationally.""",negative
993,"Difficulties arise, however, as conflicts between the traditional and modern and native languages and Spanish develop.",negative
994,"On May 23, 2002, Mr. Chang was convicted of attempting to corruptly persuade a witness to give false testimony, a conspiracy to violate the federal election law and four violations of the federal election law.",negative
995,"He says we should come through now, immediately, before the probe is reported late.""",neutral
996,"Roy, go inside!",neutral
997,"""Every quarterback has a different rhythm,"" Cutcliffe said.",neutral
998,"""I wouldn't know,""",negative
999,Adrienne met her gaze.,positive
1000,"The casinos offer familiar international games — baccarat, blackjack, boule, craps, roulette — along with more exotic Chinese pastimes.",positive
1001,You are exactly the kind of person who gives me back the hope I lost on my way into town.,positive
1002,I imagine that people do not come here for unimportant reasons.”,positive
1003,He's not even bringing them back through for a face to face briefing.,negative
1004,What is needed is a message delivered personally by Bush and other top officials not only about the inexcusable treatment of Ibrahim but of the contemptuous approach to democratic values.,negative
1005,They’ll be as surprised to see a human as you are to see men with seven arms.”,positive
1006,A gripper will be located on the front of the robot consisting of two elongated tongs.,positive
1007,And we don't waste money.,positive
1008,"In other words, the piece, in becoming more regular, is beginning to drive towards the finish—because of the formal structure, the recapitulation of the first theme also serves as the closing section of the movement.",positive
1009,"After that, the state legislatures, in every state where litigation has affected badly crafted laws, went about legislating a fix.",positive
1010,You’ll be part of a team that’s already,positive
1011,Tibetan Buddhist philosophy also approaches the mind and the self from the inside.,neutral
1012,"“It is an honor to meet you, Lady Isis,”",positive
1013,"Because of the mills and their conspicuous absence, hundreds of people were uprooted, forced to leave their homes and tightly knit communities.",negative
1014,Pop put a hand on Roy's shoulder.,negative
1015,"""",neutral
1016,The community initiatives committee is working with our development office to put together a long-range fundraising plan that will ultimately bring more money into our centers.,positive
1017,"""Moore works by depriving you of context and guiding your mind to fill the vacuum -- with completely false ideas.",negative
1018,"""Perfectly dreadful, my dear Mr. Mason,"" Allan sighed.",negative
1019,Nathan Road has many electronics shops.,positive
1020,"Hong Kong’s other, less developed islands, Lantau, Lamma, and Cheung Chau, provide getaways.",positive
1021,The committee confirmed Torricelli's claims he had made partial repayments to Chang for two gifts: a large-screen television and a stereo compact-disc player.,positive
1022,"And the markers were carved later, not be whoever built it.",neutral
1023,He pulled a sheet of folded paper from his pocket and handed it to me.,positive
1024,Creating a whole album in a month?,neutral
1025,Women protest Pakistan demolition,negative
1026,“You fit the bill. They didn't.”,positive
1027,"While both these stories are ostensibly morality tales about the dangerous beauty of this femme fatale, the true source of pleasure from these narratives is the femme fatale’s transgressive behavior, not her eventual punishment for it.",neutral
1028,Convenience features,positive
1029,"Both villages offer good waterfront restaurants with homestyle Chinese food, principally seafood fresh from the tank.",positive
1030,"He appears to have moved to France in 1989, according to news media reports, and is reported to have Israeli citizenship also.",neutral
1031,"""Very well,""",neutral
1032,"He knew he had made a bad mistake, but despite his commitment to rebuilding his life, he just didn't count on the obstacles that would be thrown up in his path.",negative
1033,Al Qaeda chiefs are seen to regain power,negative
1034,"In our fund raising efforts to date, we have received the support of local government, foundations, and corporations as well as the personal financial commitments of individual MCCOY Board members.",positive
1035,"I am here now because you called for help, and no-one else would answer.”",negative
1036,"""We see that crimson (from the Alabama loss) every day,"" tight end Lorenzo Diamond said, ""and that's a big motivational factor for us.",neutral
1037,You're going to be throwing them.,neutral
1038,Carphone Warehouse's mixed signals,negative
1039,"I got older and went to school, then to college, and I replaced the dreams my Nana gave me with the music DJs mixed for crowds in clubs, webs of pulse that shook us until we could believe anything.",negative
1040,"Foreign steel companies invested in their factories, updating their technology and replacing their equipment often.",positive
1041,"Detroit is a ghost town, and it's inhabited by ghosts: the only people left here are those who can't or won't leave.",negative
1042,I spent the past weekend there.,positive
1043,"We’ve had genies, indentured sorcerers, even golems and the occasional elf.",positive
1044,"The inscription over the archway reads, “Cidade do nome de Deus, não ha outra mais leal” (“City of the Name of God, None is More Loyal”) — a bit of praise attributed to Portugal’s King John IV in the 17th century.",neutral
1045,Karnes thought it was a breeze.,positive
1046,Roy didn't really start talking for days and didn't walk until a long time after that.,neutral
1047,"His hair fell loosely across a face that seemed always to have a knowing smirk hidden just beneath its surface, infusing his body with a rakish energy.",positive
1048,"With a population of nearly eight million and a total area of just over 1,095 square km (423 square miles), housing is one of Hong Kong’s perennial nightmares.",negative
1049,“Second Sight”,positive
1050,"""You can have a dozen competitors stealing your secrets at the same time,"" Mr. Matchett said, adding : ""It's a pretty good bet they won't get caught.""",negative
1051,"In the mean time, please checkout the website that spurred the wholesalers to launch their own: http://www.stophr5034.org.",positive
1052,"Each of Antie’s eight bump sensors will cause the robot to rotate a different amount, and the sonar will cause it to rotate 90 degrees in the opposite direction.",neutral
1053,"Rowling 'heartbroken,' 'euphoric' at 'Potter's' end",negative
1054,"While we have made significant inroads, there remains much to be done and it is clear that we cannot do it alone.",negative
1055,"Finally, following the shutdown of US Steel’s plant in 1980, local union leaders congregated outside the US Steel Headquarters in Youngstown.",negative
1056,But he did not weep.,negative
1057,"“Vodka, straight up,” Nepthys told the bartender as we sat down at the counter, “and a Bloody Mary for my friend.",neutral
1058,"Nest maintenance and seed processing are likewise difficult to observe in the deeper regions of the nest, but the sorting and deposition of waste dirt and nest garbage outside of the nest (midden work) occurs close enough to the surface to be observable.",positive
1059,"""I beg you, change the color of the walls, at the very least.""",negative
1060,"Maybe we had all tired of the frivolity of our life, hitting some threshold or some breaking point.",negative
1061,She later recanted and said that Canadian officials had pressured her.,negative
1062,Jefferson shook his head and stood up.,negative
1063,“we regret that we cannot take up your kind offer. Are you the proprietor of this shop?”,neutral
1064,"""Perhaps you require a rest from writing,""",negative
1065,"The thermometer will be located on the rear of the robot to keep it out of the way, and will detect and input to the robot the outside temperature in degrees Celsius.",neutral
1066,He thought about that.,neutral
1067,A series of snapshots and images are then a visual resume for McCall.,positive
1068,"As inflation soars, Zimbabwe economy plunges",negative
1069,"Like your address labels, your gray wolf toy says good things about you and your love of wildlife!",positive
1070,"They’re almost as rare here, and I’ve never heard a reliable story of someone successfully fighting a vampire.”",positive
1071,"Parker 15. May, 2010 at 6:56 am",neutral
1072,"Cheers to Toby Barlow , who inspired my trek to Detroit, and who believes in a happier, greener future.",positive
1073,"The monastery is strictly vegetarian, and visitors are warned not to bring any meat with them.",negative
1074,There is no such thing as too many flowers.,positive
1075,"""intuitions""",positive
1076,"Zazzali and Long had expressed similar reservations in June 2001 when the court overturned the death sentence of Thomas J. Koskovich, who was 18 when he killed two pizza deliverymen in an ambush.",negative
1077,"I got my picture taken with them and signed a few Steve Martin autographs.""",positive
1078,Brown not buried as estate issues loom,negative
1079,"Roy stooped to pick up a big, white caliche rock that looked like a dirty lump of chalk and handed it to Chad.",neutral
1080,"If these special children are to become the adults we all need them to be, we have to lead them in the right direction right now.",positive
1081,With its vibrant atmosphere and night-and-day activity it is an intoxicating place.,positive
1082,"Yes, it's that time of the year -- the start of the Boys & Girls clubs of Indianapolis' Camp.",positive
1083,"""If I were choosing the people of tomorrow, I would have chosen the people who are now on the board,""",positive
1084,Which brings us back to: 1.,negative
1085,"As Paul Wilson states, the development “is, for Bartók’s music, developmental in a relatively conventional way”; the themes from the exposition are expanded and modified, and tonalities other than those expected arise.",positive
1086,You write: Bowling shows Moore casually buying ammunition at an Ontario Walmart.,neutral
1087,"Posted by Tayari Jones on March 3, 2008 10:57 PM",neutral
1088,"Posted by: alkau | Wednesday, 26 May 2010 at 11:11 AM",neutral
1089,Tasha said.,neutral
1090,"Actually, I do that, too.",positive
1091,"If we only had a human on our staff, we could have done so ages ago and sold it off, but we have no such luck.”",negative
1092,Hatton hands back IBF title again,negative
1093,Man admits UK-US terror bomb plot,negative
1094,He bought several Strip properties — the Silver Slipper and Castaways among them — and demolished them to make way for a new kind of resort — Mirage —  which became an instant success.,positive
1095,"“Okay,”",positive
1096,"""I understand baseball moves, I've been through this before,""",positive
1097,Apple set for massive market gains,positive
1098,"""No.",negative
1099,"The Hong Kong Golf Club (Tel. 2812 7070) welcomes visitors to its three 18-hole courses at Fanling in the New Territories, or the 9-hole course at Deep Water Bay.",positive
1100,"Therefore, neither homosexuals nor heterosexuals really have a “choice” in the matter, and asking a homosexual “Why are you attracted to other members of your sex” is likened to asking a heterosexual “Why are you attracted to members of the opposite sex?”",neutral
1101,"""That's why I cannot take payment.""",negative
1102,"Here in the Northeast, we hold stewardship of a precious portion of planet Earth.",neutral
1103,"But the mind can only be known by you, the person whose mind it is.""",neutral
1104,"An enormous roller-coaster rising way above the sea, space wheels, and high-diving shows guarantee a day of excitement.",positive
1105,Right now.,negative
1106,"""Yes.""",positive
1107,"""Your writing is for you, Allan, not for the publishers or some imagined audience.",negative
1108,"""Calling him by his first name.",neutral
1109,"To avoid bumping into things (including other ants), Antie be provided with an escape function.",neutral
1110,"Kids like Tommie J., made a ward of the court because of repeated beatings by an alcoholic father;",negative
1111,"The tiny barbs hurt, but nobody was allowed to beat you up if you just used stickers.",negative
1112,Use gloves to break up the soil with your fingers.,positive
1113,We should get started right away.,positive
1114,"For them, reaching the greatest depths of spirituality demanded expression in its most minimal form.",negative
1115,The door was on that side and Mrs. Rayburn.,neutral
1116,To say that they could not have done otherwise is a bold lie by Moore's critics.,negative
1117,"Tried/shared/re-tweeted, with pleasure!",positive
1118,"These pleasant, but expensive, outings can lay the foundation for your own explorations aboard the cheap but usually comfortable ferries used by the islanders themselves.",positive
1119,"This award-winning style is evident in every issue with behind-the-headlines reporting, passionate coverage of the environment, exotic journeys to remote places you may never otherwise experience, and of course, in AUDUBON’s famous photography of nature’s most awe-inspiring creations.",positive
1120,"Powell heads to Indonesia's capital, Jakarta, late on Thursday before finishing a weeklong trip through the region in the Philippines on Saturday.",neutral
1121,"In return, we will recognize Target as a sponsor during our event and in the event program.",positive
1122,"At 8:15 a.m. Hiroshima time, the pneumatic bomb-bay doors opened and ""Little Boy,"" equivalent to 20,000 tons of TNT, fell out.",negative
1123,Pig cells hope for diabetes cure,positive
1124,China says rich countries should take lead on global warming,positive
1125,Did you hear what the captain said earlier?,neutral
1126,Guinea: Plan offices close as country declares emergency,negative
1127,Findings : A cool $25 million for a climate backup plan,positive
1128,The theater presents “sky shows” and IMAX films.,positive
1129,"As a team, these three organizations are working with neighborhood youth and adults to build a ""Caring Neighborhood with Youth"" , mobilizing the assets of young people and adults as partners to build a better neighborhood for all.",positive
1130,Wouldn’t that be wonderful?”,positive
1131,"Just in front of me, a massive thing slammed into the wall, sending up a cloud of granite dust.",negative
1132,The feeling that you are a real partner in helping us achieve victories for wildlife is probably the biggest benefit of membership there is.,positive
1133,"This will emulate the digging that foragers must often do in order to locate seeds, and will enable Antie to accurately retrieve seeds for its host nest.",neutral
1134,Visitors to Eiffel Tower climb to record in 2006,positive
1135,"A Trappist monastery, situated on a hillside overlooking the east coast of Lantau, is also open to visitors.",positive
1136,"The sad truth is animal cruelty, abuse and neglect continues at an alarming rate across the nation and even in your own community.",negative
1137,And join the fun while making a real difference for the environment!,positive
1138,"By 1945, the population had grown to almost 20,000, with workers and airmen moving in at a rapid pace.",positive
1139,list>,neutral
1140,Commentary: Minutemen have a right to be idiotic,negative
1141,"Comments (14) April 27, 2009 9:42 AM",neutral
1142,Study: Female seals picky about mates,negative
1143,"Subcontractors will be offered a settlement and a swift transition to new management is expected to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.",positive
1144,"A robot, then.",neutral
1145,"“I don't know,” he said.",negative
1146,"Quite simply, WWF must do even more to safeguard the tigers, rhinos, pandas. whales, and other creatures that still remain in the wild.",negative
1147,Government tees and charges for all passengers are additional.,negative
1148,"During his four days in Iraq, Hall said he wanted to investigate reports from relief agencies that a quarter of Iraqi children may be suffering from chronic malnutrition.",negative
1149,Spend a weekend bushwhacking with map and compass near our Pinkham Notch Lodge.,positive
1150,"""Free""",positive
1151,"he wasn't the sort you'd call ""Chuck.""",negative
1152,"The very first thing that the workers could do was “to get up a petition to stop the shutdown,” says Ed Mann, a local union leader and organizer.",negative
1153,Franklin has opened up a whole new world for me.,positive
1154,Guangzhou is famous for its food.,positive
1155,Storm leaves behind major travel troubles,negative
1156,“The captain selected us for a reason.,positive
1157,"Instead, both these stories feature many moments where readers have great sympathy for her, despite her depraved sexuality.",neutral
1158,Renegotiating that issue with the World Trade Center leaseholders should begin immediately.,neutral
1159,Please make an investment in the stability of our community by sending a gift to Goodwill.,positive
1160,"By applying our tonal system to music that slips outside of the tonal realm, we not only find the elements of tonality that do remain, but we also pinpoint exactly when and how this music breaks from previous conventions.",positive
1161,"The cause - undetermined, but the suspected culprit is pollution poisoning our oceans with toxic chemicals and sewage.",negative
1162,"Ants themselves rely primarily on chemical information taken in through their antennae, and to mimic this, Antie will have chemical sensing and emitting “stalks” with which to both interact with other ants (who may be surprised to find an ant without antennae) and take in chemical information.",neutral
1163,"""Is he handsome?""",positive
1164,"This is not the place to make expensive purchases, but it’s great for inexpensive pendants, earrings, and gifts.",neutral
1165,Vegetables May Boost Brain Power in Older Adults,positive
1166,"All these efforts eventually came to nothing, and Youngstown’s steel mills remained closed.",negative
1167,"After evaluating the extensive body of evidence before it and your testimony, the committee is troubled by incongruities, inconsistencies and conflicts, particularly concerning actions taken by you which were or could have been of potential benefit to Mr. Chang.",negative
1168,"""but I fear for what would remain.""",negative
1169,The owners will brew up a pot so you can taste before making a choice.,positive
1170,"The difference of their logarithmized signals would be returned to Antie, who will use a simultaneous model to navigate returns to the nest: Upon each exit from the nest, Antie will take a single 360o scan of the sky, and will orient itself according to an analytical procedure to derive compass information from different polarization patterns perceived later.",neutral
1171,"There are restaurants and a Starbuck’s in the basement, and you can access the raised pedestrian crosswalk from the escalators on the ground floor.",neutral
1172,Bathing mom awakes to find baby dead,negative
1173,"There are more than 30 cinemas in Hong Kong, and the latest Western releases are shown in some of the larger ones.",neutral
1174,Wow.,positive
1175,"However, the leather garment industry is growing, and there is a wide range of locally produced leather accessories, all at extremely attractive prices.",positive
1176,“Would the gentlemen care to purchase some fine herbs?”,positive
1177,Your gift will go beyond the holiday season.,positive
1178,“I never thought about it.”,neutral
1179,"But it would be expensive, and the governor, the mayor and their friends in Washington will have to look at long-range ways to pay the bill.",negative
1180,"So what's our cargo, eh, captain?”",neutral
1181,We are asking you to consider sponsoring one of our families for this holiday season.,positive
1182,"The construction of Hoover Dam did not single-handedly save Las Vegas, however.",negative
1183,"The right-of-way travels past fancy apartment blocks, bamboo stands, and jungle flowers.",positive
1184,"Bike clubs tend to be pretty anarchic, but if you look around your community you'll find both bike riders and shop owners who ride for change.",positive
1185,"Just east of the Star Ferry terminal, you’ll come to City Hall.",negative
1186,The reply came from above him and Allan turned to see his friend reclining in the fork of a great tree.,positive
1187,Personalized features,positive
1188,Calls made from payphones are subject to a surcharge.,negative
1189,"They enable us to provide students with access to state-of-the-art technology and opportunities to attend professional colloquia, seminars, and conferences on and off campus.",positive
1190,"…Sir, if she’s in any danger, it will probably be too late to help her by that time.",negative
1191,"I spent the evening listening, mostly.",neutral
1192,"Despite its initial failings, Siegel’s Flamingo survived him, as did mob infiltration of casinos.",neutral
1193,"Pedicabs were once the most common form of transportation in Macau, but today they are mainly a tourist attraction.",positive
1194,"""Noriega has closed every independent newspaper, radio and television station and arrested, tortured or forced into exile a long list of reporters,"" the statement declared.",negative
1195,“How long have you been here?”,neutral
1196,“and you’d better pray to whatever god you think will listen that he won’t care we woke her up.”,negative
1197,"His arrest in Manhattan, after attempting to sell the coin for $1.5 million, led to a court battle over whether -- thanks to the Treasury's mistaken export permission in 1944 -- the coin could be legally owned.",negative
1198,Howell takes one shot lead in Sony Open,positive
1199,""" --was glorious!""",positive
1200,"""Perhaps you could make some headway if you denied your darker side the outlet of the colorful metaphors you so enjoy.",negative
1201,"The children and families who come to Pleasant Run are given the opportunity to become happy, loving, and productive members of our society.",positive
1202,have a happy vacation that place looks fascinating I should get a passport,positive
1203,"Col. Paul Tibbets, the pilot who would drop the world's first atomic bomb over Hiroshima, Japan, was commander of the unit and chose the men.",positive
1204,"Because of this, I will ignore other ant species in the design of Antie, and will not create a fighting behavior.",neutral
1205,“can’t-miss”,neutral
1206,"There are a lot of barriers that keep people from working: physical and mental disabilities, history of welfare dependency and lack of education or self-esteem.",negative
1207,"You believe the other medicine may have just as much value, but in other situations, not this one.",neutral
1208,Charlie Sheen to become highest-paid sitcom star,positive
1209,"Allan filled page after page, the words escaping from his mind onto the paper.",neutral
1210,"There are also souvenir stands, benches for a rest, and perhaps Hong Kong’s last surviving rickshaws — however these are not for rides, but are a tourist photo opportunity.",positive
1211,A nap a day may keep the heart doctor away,positive
1212,You didn't fight!,negative
1213,"Allan's thoughts fled as one, scattering on the breeze that scattered the warning plume.",neutral
1214,The dialogue goes as follows:,neutral
1215,"You can also take a ferry to Macau to find an entirely different kind of city, a unique blend of Chinese and Iberian culture.",positive
1216,"Sometimes we stopped to take a photo, but mostly we didn't.",negative
1217,The playwright in me wants every scene of our time together.,positive
1218,"At long last, Nathan reached the end and set down his reading on the table between them.",neutral
1219,Fall 2000,neutral
1220,"We hope you’ll use them on all of your letters, packages and cards.",positive
1221,"A woman who could have been an elf twitched and jerked beside me, fingers trembling at the torn edges of her clothing.",neutral
1222,"Translation of law into native languages has proved to be a difficult task, as Western ideas often have no parallel in indigenous cosmovision.",negative
1223,"Come on, let’s go.”",positive
1224,He was barely moving.,negative
1225,"You wouldn't believe half of the shit I've seen, even when I was straight.",negative
1226,"The Soviets' eavesdropping paid off, however, because they got the contract.",neutral
1227,"""I had a hunch you'd be at Arthur's today,""",positive
1228,"“Hey,” said a male voice, “do you need some help?”",neutral
1229,A total of 31 state psychology associations have task forces dedicated to developing and lobbying for prescription-privileges legislation.,neutral
1230,The Nasa and Guambiano have stood in opposition since pre-colonial times; therefore any coalition between the two advocacy groups is tenuous at best (Rappaport 2005: 2).,neutral
1231,Update 2: And so it begins...,negative
1232,Commodities lead Europe higher,neutral
1233,The choice ranges from traditional hand-carved Chinese rosewood furniture to well-made reproductions of modern Western styles.,positive
1234,However this does not necessarily determine a homosexual; rather this predisposition must be triggered by environmental factors.,neutral
1235,"Torricelli also insisted that he had not done any unusual favors for Chang, who first turned to the senator in 1995 for help in winning the repayment of some $71 million he said he was then owed in a failed business deal with the North Korean government.",neutral
1236,"Previously, it offered $13.65 a share in cash, or $29 million.",positive
1237,Tonight was for observation.,positive
1238,"But much contemporary work is also fetching ""a great deal of money,"" says Miles Barth of the International Center of Photography.",positive
1239,Women in their 60s 'are perfectly good mothers',positive
1240,"If you could give $20 or more, I can promise we’ll use your money to help animals start new, happier lives.",positive
1241,"I had impressed her because I was famous and amusing and not, as I had hoped, because I was a great artist.",positive
1242,"Mirror image: Ole Miss coach David Cutcliffe said that tempo is the only difference between quarterback Eli Manning and his brother Peyton, who played for Cutcliffe at Tennessee.",neutral
1243,Classical Music.,positive
1244,The advertisement attempts to make several points and reach several different constituencies.,positive
1245,Trying to assess the damage in Cleveland,neutral
1246,"With rail service in place and forty blocks of private property, it was ready to become a real town.",positive
1247,"In an effort to provide yet one more thing to bet on, players are imported from Spain to take part in this lightning-fast Basque ball game.",neutral
1248,New loans continue to slow; they were $6.6 million in the quarter compared with $361.8 million a year ago.,negative
1249,Goodwill has devised the programs that turned your investment into results.,positive
1250,"Read for yourself: ""state or territorial regulations may not facially discriminate, without justification, against out-of-state producers of alcoholic beverages in favor of in-state producers.""",neutral
1251,"“Well,”",neutral
1252,It’s been in our collection for several years because only a human can activate it.,neutral
1253,There was an ink drawing and writing in a tiny neat hand that I couldn't read from where I sat.,negative
1254,I advise that you not refuse me a third time.”,negative
1255,"“Welcome, friends!”",positive
1256,We don’t – ”,negative
1257,"Beginning in 2014, ""Sonoma County"" will receive a tremendous boost in recognition due to the conjunctive labeling law that forces vintners to add more wording to their labels—whether they think the words ""Sonoma County"" help or hurt their marketing efforts.",negative
1258,You can have a delicious vegetarian lunch here.,positive
1259,His claim that it is possible to purchase ammunition in supermarkets is independent from that claim.,negative
1260,"New vaccine for cervical cancer could prove useful in men, too",positive
1261,“Could you live anywhere else now?”,negative
1262,“fascinating.”,positive
1263,"Nope, I wasn't kidding.",negative
1264,The conversations seem to indicate a familiarity between Tokhtakhounov and Anissina.,neutral
1265,One reason we're late (other than the obvious) is the insane complexity in calculating it well.,negative
1266,This weekend reminded me that I'm not done learning.,positive
1267,"Those were the first to articulate the necessity of affirming the independent identity of the indigenous populations; previously, both the left and right maintained a belief in indigenous assimilation into the dominant Spanish culture.",positive
1268,"China began to relax trade restrictions, and with the rise of Hong Kong, Macau became an isolated Portuguese outpost.",neutral
1269,"All of our frantic preparations may have had some effect in preventing small-time casual attacks, but they cannot stop a serious planned attack, any more than a mere door lock can stop a serious robber who really wants to get into your house.",negative
1270,I wondered how many people it treated.,positive
1271,"Should you have questions or if I can be of assistance in any way, please call me: 317.923.1331, ext. 248.",positive
1272,"To quote from H.R. 5034: ""not withstanding that the state or territorial law may burden interstate commerce or an act of congress, the state law shall be upheld...""",neutral
1273,Female astronaut sets record,positive
1274,"Without an industrial or a residential base, commerce shrank considerably.",negative
1275,"On or about March 7, in a conversation between Tokhtakhounov and Anissina, she said she would have won the event without his assistance because the Russian judge did not vote for her and her partner.",positive
1276,"For more than 60 years, caring and concerned wildlife lovers like yourself have supported our mission to educate, inspire and assist individuals and organizations to conserve wildlife and other natural resources and to protect the earth’s environment in order to achieve a peaceful, equitable and sustainable future.",positive
1277,"Rachel and I went out to dinner, and when we finished, she saw that there was a message on her cell phone.",neutral
1278,Tropical Storm Paul's Outer Bands Hit Mexico's Baja California,neutral
1279,Weekly Nielsen will 'Lost' find its way back?,negative
1280,"I stopped eating halfway through, not because I was full.",negative
1281,Rescued boys parents hail 'miracle',positive
1282,"""On Tinian, and probably elsewhere, the Seabees were building enormous hospitals while we were there,"" he said.",positive
1283,"""Then why,"" Arthur barreled on, ""do you disregard them all and return to this superstitious babble, this morbid, paganistic drivel?",negative
1284,", she --",neutral
1285,We're just dumb and lucky.”,positive
1286,"This, he claimed, made laws such as paragraph 175, a law adopted by King William I throughout the German Kingdoms at the time of their unification which forbade sex between males, and forced criminal penalties upon individuals partaking in such behavior, unfair and unreasonable .",negative
1287,"“That's murder,”",negative
1288,Dobbens reasoned that most parents would not raise their children to be homosexual; “They’re not like ‘My child’s going to be gay!”’,negative
1289,The sanctions cannot be lifted until U.N. inspectors certify that Iraq has eliminated its weapons of mass destruction and the means to produce them.,negative
1290,"It is neither grey white, nor vory white, but pure white.",neutral
1291,It’s people like you who make it possible to give the priceless gift of “Second Sight” .,positive
1292,"“Come on,”",negative
1293,It is strange to know that we can do acts of unrepayable kindness to those we should hate.,positive
1294,"Poverty is frequently portrayed as natural, and the poor in America are seen by conservatives as VCR-owners who are just too lazy to work.",negative
1295,"Midden work, which consists of moving dirt between the inside of the nest and the outside, will occur first; patrolling, which involves a shorter overall amount of time spent outside, will occur second; and foraging will be the final behavior.",positive
1296,The hard truth: The soil of North Truro is not strong enough to support agriculture.,negative
1297,City and Countryside,positive
1298,"Melody M Thibodeau 25. Sep, 2010 at 7:52 am",neutral
1299,"Marches, speeches, and letter writing were all employed to help stimulate the Campaign and rally the people.",positive
1300,"This remains true even with one of his last compositions, the Concerto for Orchestra, written two years before his death in 1943.",negative
1301,"“I think it’s a fair deal, considering the return,” he told me, “but it’s up to you.”",positive
1302,CIA leak trial summary,negative
1303,"A Russian accused of being in organized crime was arrested in Italy on Wednesday on an American complaint that he conspired to fix the pairs figure skating and ice dancing competitions at the recent Salt Lake Winter Olympics, which were dominated by the sport's judging scandals.",negative
1304,"A minute later, the shock wave hit.",negative
1305,"The British paper, packaging and publishing concern, said profit from continuing lines fell 10% to #118 million from #130.6 million.",negative
1306,Gere cheers sex workers in AIDS fight,positive
1307,We believe there is no more appropriate time to have a coordinated and collaborative effort to financially support the services MCCOY offers to the community as a whole.,positive
1308,Park stars as United maintain lead,neutral
1309,"""I'm homeless now trying to find a place to lay my head,""",negative
1310,"As I mentioned, this new same-day airborne land-and-shoot practice will start in September after the opening of hunting season and the first snow — and when wolves will be an easy target.",negative
1311,My story leaps ahead of itself.,neutral
1312,"Sincerely,",positive
1313,"The tension in the crowd was broken with a burst of applause after the $5 million mark, and a louder explosion at $6 million.",positive
1314,"True to the myth, the reclusive Hughes immediately cloistered himself in the Desert Inn’s penthouse.",negative
1315,You have to be playful and confident about cooking.,positive
1316,"A gift means a family will have a holiday meal, cooking utensils to prepare the meal and dishes to serve it on.",positive
1317,"Stores do not open until 10am or later, but shopping goes on into the evening, up to 9:30pm.",neutral
1318,We're asking for a contribution in the amount of because you can't got a better bang for your buck than to support an organization that impacts so many lives in so many ways.,positive
1319,Moore's film was made before the dead bodies of Qusay and Uday Hussein were paraded on national TV.,negative
1320,"If he refuses, threaten him.",negative
1321,"Some of the things they've done down there are amazing, and the community garden is a great bridge to the surrounding neighborhood.",positive
1322,"“As if I wanted it,” interrupted the woman.",negative
1323,How could he even think about blaming poverty and forced labor programs for anything bad that happens?,negative
1324,Its official media are awash in anti-American and anti-Semitic propaganda.,negative
1325,"All of it was temporary, save for the black.",negative
1326,The record price was seen as a gift by coin collectors.,positive
1327,"Cher's dress, car, bed have new owners",negative
1328,"UPDATE 1-Plane crashes at Moscow airport, no passengers",negative
1329,They didn't.”,negative
1330,"Detroit, already plagued by corruption and crime, saw its unemployment rate skyrocket in 2009.",negative
1331,Neither Microsoft nor AT&T Wireless would comment.,negative
1332,“what you have found.”,neutral
1333,They need to be identified and attacked.,negative
1334,What does this mean for your resolutions?,neutral
1335,"""Tokhtakhounov's money is bad,""",negative
1336,She said education's a sledgehammer.,negative
1337,"I was pretty rattled, but things fell together for me looking at the big statue, the Hawaiian shirt and the mark on the ground.",negative
1338,The Red Sox wanted to bolster their offense.,neutral
1339,I know that our staff and committee members will be happy to go with you to talk to these group if you need their help.,neutral
1340,"Her family said she did it to support her father, who was dying of a particularly painful degenerative disease.",negative
1341,shares outstanding.,positive
1342,I figure it can't be worse than the lethal injection that's waiting for me at dawn.,negative
1343,"Far away, Super Bowl's losers will be champs",positive
1344,IFAW ANIMAL SANCTUARY FUND Your donation will help give an animal a safe home!,positive
1345,Free range?,neutral
1346,Antie’s motors will allow it to move around and interact with its environment and fellow ants.,positive
1347,"""and that's a big motivational factor for us.",positive
1348,The surprising thing is that I was.,neutral
1349,"Though fights sometimes do break out with other red harvester ants from different nests, intraspecies interactions tend not to be aggressive (Gordon, 11).",neutral
